page_index,predicted_label,predicted_label_base,top1_score,top2_score,margin_top1_top2,margin_norm,z_gap_top1_top2,other_threshold,other_min_margin_norm,other_triggered,other_triggered_top1,other_triggered_margin_norm
0,liet_ke_giao_dich,liet_ke_giao_dich,0.80381,0.703118,0.100692,0.418244,1.725846,0.8,0.08,False,False,False
1,other,liet_ke_giao_dich,0.786725,0.705828,0.080897,0.372055,1.487889,0.8,0.08,True,True,False
2,so_quy,so_quy,0.822847,0.759048,0.063799,0.267948,1.081013,0.8,0.08,False,False,False
3,other,so_quy,0.659599,0.622947,0.036652,0.477942,1.782355,0.8,0.08,True,True,False
4,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,0.921139,0.87776,0.043379,0.115196,0.433761,0.8,0.08,False,False,False
5,other,giay_de_nghi_hoan_quy,0.828028,0.824509,0.003519,0.012662,0.046909,0.8,0.08,True,False,True
6,giay_rut_tien,giay_rut_tien,0.908062,0.854085,0.053977,0.173405,0.645503,0.8,0.08,False,False,False
7,other,so_quy,0.668773,0.661369,0.007404,0.131034,0.400624,0.8,0.08,True,True,False
8,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,0.925353,0.880583,0.04477,0.117241,0.441751,0.8,0.08,False,False,False
9,other,giay_de_nghi_tiep_quy,0.873928,0.8688,0.005128,0.018124,0.066826,0.8,0.08,True,False,True
10,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,0.925083,0.880879,0.044204,0.115956,0.43648,0.8,0.08,False,False,False
11,other,giay_de_nghi_tiep_quy,0.879231,0.875477,0.003754,0.011944,0.04335,0.8,0.08,True,False,True
12,giay_rut_tien,giay_rut_tien,0.90567,0.863639,0.042031,0.133612,0.494897,0.8,0.08,False,False,False
13,other,the_tiet_kiem_ban_sao,0.692613,0.677996,0.014617,0.211613,0.679203,0.8,0.08,True,True,False
14,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,0.921172,0.885828,0.035344,0.093993,0.348756,0.8,0.08,False,False,False
15,other,giay_de_nghi_tiep_quy,0.877365,0.872461,0.004905,0.016998,0.0626,0.8,0.08,True,False,True
16,giay_rut_tien,giay_rut_tien,0.894758,0.859439,0.035319,0.117041,0.429684,0.8,0.08,False,False,False
17,other,so_quy,0.668961,0.644632,0.024329,0.336185,1.125236,0.8,0.08,True,True,False
18,giay_nop_chuyen_tien,giay_nop_chuyen_tien,0.917164,0.855572,0.061592,0.186256,0.70813,0.8,0.08,False,False,False
19,other,the_tiet_kiem_ban_sao,0.666831,0.664392,0.002439,0.050489,0.149656,0.8,0.08,True,True,False
20,giay_rut_tien,giay_rut_tien,0.908653,0.875047,0.033606,0.108699,0.397726,0.8,0.08,False,False,False
21,other,so_quy,0.669181,0.645304,0.023877,0.317653,1.073634,0.8,0.08,True,True,False
22,giay_rut_tien,giay_rut_tien,0.904629,0.86937,0.035259,0.115115,0.421893,0.8,0.08,False,False,False
23,other,the_tiet_kiem_ban_sao,0.681194,0.669809,0.011385,0.186871,0.586033,0.8,0.08,True,True,False
24,other,giay_de_nghi_hoan_quy,0.916142,0.892424,0.023718,0.065324,0.240729,0.8,0.08,True,False,True
25,other,giay_de_nghi_hoan_quy,0.867414,0.86306,0.004353,0.015887,0.057573,0.8,0.08,True,False,True
26,other,giay_de_nghi_hoan_quy,0.917433,0.891343,0.02609,0.072667,0.268339,0.8,0.08,True,False,True
27,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,0.870498,0.844017,0.02648,0.086098,0.33548,0.8,0.08,False,False,False
28,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,0.921591,0.769223,0.152368,0.425575,1.825746,0.8,0.08,False,False,False
29,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,0.865517,0.712214,0.153303,0.46257,1.892106,0.8,0.08,False,False,False
30,giay_gui_tien_tiet_kiem,giay_gui_tien_tiet_kiem,0.847524,0.786848,0.060677,0.212064,0.83946,0.8,0.08,False,False,False
31,other,the_tiet_kiem_ban_sao,0.666129,0.663973,0.002156,0.046577,0.137091,0.8,0.08,True,True,False
32,giay_gui_tien_tiet_kiem,giay_gui_tien_tiet_kiem,0.946218,0.793245,0.152972,0.423028,1.74482,0.8,0.08,False,False,False
33,other,so_quy,0.656746,0.616731,0.040015,0.522035,1.909812,0.8,0.08,True,True,False
34,to_trinh_uu_dai_lai_suat,to_trinh_uu_dai_lai_suat,0.962904,0.72666,0.236244,0.58501,2.334389,0.8,0.08,False,False,False
35,other,so_quy,0.674143,0.653348,0.020795,0.306273,1.122006,0.8,0.08,True,True,False
36,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,0.904542,0.756517,0.148026,0.470247,2.008034,0.8,0.08,False,False,False
37,other,giay_nop_chuyen_tien,0.775575,0.753801,0.021774,0.131093,0.482716,0.8,0.08,True,True,False
38,other,giay_gui_tien_tiet_kiem,0.766295,0.7334,0.032895,0.184814,0.737478,0.8,0.08,True,True,False
39,other,so_quy,0.653891,0.613243,0.040649,0.531138,1.944598,0.8,0.08,True,True,False
40,other,giay_gui_tien_tiet_kiem,0.690543,0.67726,0.013282,0.091424,0.321861,0.8,0.08,True,True,False
41,other,the_tiet_kiem_ban_sao,0.775481,0.758858,0.016623,0.086381,0.305429,0.8,0.08,True,True,False
42,other,giay_gui_tien_tiet_kiem,0.765805,0.747593,0.018212,0.103992,0.392346,0.8,0.08,True,True,False
43,other,so_quy,0.662293,0.623794,0.038499,0.496328,1.798062,0.8,0.08,True,True,False
44,other,giay_gui_tien_tiet_kiem,0.688548,0.676241,0.012307,0.086751,0.300931,0.8,0.08,True,True,False
45,other,the_tiet_kiem_ban_sao,0.760786,0.757648,0.003138,0.016536,0.057399,0.8,0.08,True,True,False
46,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,0.883257,0.770487,0.11277,0.357854,1.522342,0.8,0.08,False,False,False
47,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,0.843161,0.721231,0.121929,0.394416,1.60274,0.8,0.08,False,False,False
48,giay_gui_tien_tiet_kiem,giay_gui_tien_tiet_kiem,0.847014,0.790926,0.056087,0.199396,0.789541,0.8,0.08,False,False,False
49,other,so_quy,0.655726,0.618103,0.037623,0.481633,1.732614,0.8,0.08,True,True,False
